x,y,elev,LAT,LON,coords.x1,coords.x2
1158.1241,458.7076,64.12,26.2680630061213,-98.4193003936107,-98.4193003936107,26.2680630061213
1163.1241,458.7076,54.11,26.2674089852197,-98.3693246413746,-98.3693246413746,26.2674089852197
1168.1241,458.7076,48.48,26.2667346106584,-98.3193495547177,-98.3193495547177,26.2667346106584
1173.1241,458.7076,40.59,26.2660398829046,-98.2693751540225,-98.2693751540225,26.2660398829046
1178.1241,458.7076,33.22,26.2653248024398,-98.2194014596698,-98.2194014596698,26.2653248024398
1183.1241,458.7076,31.02,26.2645893697593,-98.1694284920385,-98.1694284920385,26.2645893697593
1188.1241,458.7076,28.79,26.2638335853728,-98.1194562715061,-98.1194562715061,26.2638335853728
1193.1241,458.7076,23.63,26.263057449804,-98.0694848184479,-98.0694848184479,26.263057449804
1198.1241,458.7076,21.68,26.2622609635906,-98.0195141532375,-98.0195141532375,26.2622609635906
1203.1241,458.7076,16.72,26.2614441272845,-97.9695442962466,-97.9695442962466,26.2614441272845
1208.1241,458.7076,16.66,26.2606069414517,-97.9195752678446,-97.9195752678446,26.2606069414517
1213.1241,458.7076,17.22,26.2597494066722,-97.8696070883995,-97.8696070883995,26.2597494066722
1218.1241,458.7076,14.71,26.2588715235404,-97.8196397782765,-97.8196397782765,26.2588715235404
1223.1241,458.7076,13.24,26.2579732926643,-97.7696733578393,-97.7696733578393,26.2579732926643
1228.1241,458.7076,11.13,26.2570547146666,-97.7197078474489,-97.7197078474489,26.2570547146666
1233.1241,458.7076,9.14,26.2561157901836,-97.6697432674646,-97.6697432674646,26.2561157901836
1238.1241,458.7076,10.18,26.2551565198659,-97.6197796382429,-97.6197796382429,26.2551565198659
1243.1241,458.7076,7.14,26.2541769043782,-97.5698169801383,-97.5698169801383,26.2541769043782
1248.1241,458.7076,4.88,26.2531769443994,-97.5198553135029,-97.5198553135029,26.2531769443994
1253.1241,458.7076,5.29,26.2521566406223,-97.4698946586862,-97.4698946586862,26.2521566406223
1258.1241,458.7076,2.15,26.2511159937539,-97.4199350360355,-97.4199350360355,26.2511159937539
1263.1241,458.7076,0.43,26.2500550045153,-97.3699764658952,-97.3699764658952,26.2500550045153
1128.1241,463.7076,43.56,26.3166208847281,-98.7185888079792,-98.7185888079792,26.3166208847281
1133.1241,463.7076,60.22,26.3160887229575,-98.6685869040772,-98.6685869040772,26.3160887229575
1138.1241,463.7076,63.69,26.3155361946146,-98.6185855441641,-98.6185855441641,26.3155361946146
1143.1241,463.7076,79.35,26.3149633000822,-98.5685847486591,-98.5685847486591,26.3149633000822
1148.1241,463.7076,77.58,26.3143700397571,-98.5185845379799,-98.5185845379799,26.3143700397571
