"","ID","year","month","day","TMAX"
"29735","USC00020949",1972,9,6,383
"29736","USC00020949",1972,9,7,356
"29737","USC00020949",1972,9,8,356
"29738","USC00020949",1972,9,9,367
"29739","USC00020949",1972,9,10,372
"29740","USC00020949",1972,9,11,361
"29741","USC00020949",1972,9,12,361
"29742","USC00020949",1972,9,13,378
"29743","USC00020949",1972,9,14,389
"29744","USC00020949",1972,9,15,400
"29745","USC00020949",1972,9,16,400
"29746","USC00020949",1972,9,17,389
"29747","USC00020949",1972,9,18,356
"29749","USC00020949",1972,9,20,350
"29750","USC00020949",1972,9,21,383
"29751","USC00020949",1972,9,22,367
"29752","USC00020949",1972,9,23,361
"29753","USC00020949",1972,9,24,350
"29757","USC00020949",1972,9,28,356
"29758","USC00020949",1972,9,29,378
"29759","USC00020949",1972,9,30,378
"29823","USC00020949",1972,10,1,394
"29824","USC00020949",1972,10,2,378
"30344","USC00020949",1973,4,26,356
"30345","USC00020949",1973,4,27,378
"30346","USC00020949",1973,4,28,356
"30414","USC00020949",1973,5,3,350
"30420","USC00020949",1973,5,9,378
"30421","USC00020949",1973,5,10,394
"30422","USC00020949",1973,5,11,400
"30423","USC00020949",1973,5,12,383
"30424","USC00020949",1973,5,13,394
"30425","USC00020949",1973,5,14,367
"30426","USC00020949",1973,5,15,356
"30427","USC00020949",1973,5,16,367
"30428","USC00020949",1973,5,17,400
"30429","USC00020949",1973,5,18,417
"30430","USC00020949",1973,5,19,406
"30431","USC00020949",1973,5,20,378
"30432","USC00020949",1973,5,21,361
"30433","USC00020949",1973,5,22,361
"30434","USC00020949",1973,5,23,378
"30435","USC00020949",1973,5,24,367
"30436","USC00020949",1973,5,25,350
"30438","USC00020949",1973,5,27,383
"30439","USC00020949",1973,5,28,406
"30440","USC00020949",1973,5,29,417
"30441","USC00020949",1973,5,30,406
"30442","USC00020949",1973,5,31,394
"30507","USC00020949",1973,6,3,350
"30508","USC00020949",1973,6,4,378
"30509","USC00020949",1973,6,5,406
"30510","USC00020949",1973,6,6,428
"30511","USC00020949",1973,6,7,444
"30512","USC00020949",1973,6,8,467
"30513","USC00020949",1973,6,9,461
"30514","USC00020949",1973,6,10,433
"30515","USC00020949",1973,6,11,400
"30516","USC00020949",1973,6,12,367
"30517","USC00020949",1973,6,13,356
"30520","USC00020949",1973,6,16,367
"30521","USC00020949",1973,6,17,372
"30522","USC00020949",1973,6,18,400
"30523","USC00020949",1973,6,19,389
"30524","USC00020949",1973,6,20,422
"30525","USC00020949",1973,6,21,439
"30526","USC00020949",1973,6,22,439
"30527","USC00020949",1973,6,23,433
"30528","USC00020949",1973,6,24,450
"30529","USC00020949",1973,6,25,456
"30530","USC00020949",1973,6,26,461
"30531","USC00020949",1973,6,27,478
"30532","USC00020949",1973,6,28,472
"30533","USC00020949",1973,6,29,461
"30534","USC00020949",1973,6,30,433
"30598","USC00020949",1973,7,1,444
"30599","USC00020949",1973,7,2,461
"30600","USC00020949",1973,7,3,467
"30601","USC00020949",1973,7,4,467
"30602","USC00020949",1973,7,5,461
"30603","USC00020949",1973,7,6,450
"30604","USC00020949",1973,7,7,433
"30605","USC00020949",1973,7,8,433
"30606","USC00020949",1973,7,9,444
"30607","USC00020949",1973,7,10,461
"30608","USC00020949",1973,7,11,450
"30609","USC00020949",1973,7,12,400
"30610","USC00020949",1973,7,13,400
"30611","USC00020949",1973,7,14,422
"30612","USC00020949",1973,7,15,417
"30613","USC00020949",1973,7,16,406
"30614","USC00020949",1973,7,17,400
"30615","USC00020949",1973,7,18,406
"30616","USC00020949",1973,7,19,422
"30617","USC00020949",1973,7,20,417
"30618","USC00020949",1973,7,21,406
"30619","USC00020949",1973,7,22,406
"30620","USC00020949",1973,7,23,422
"30621","USC00020949",1973,7,24,433
"30622","USC00020949",1973,7,25,450
"30623","USC00020949",1973,7,26,444
"30624","USC00020949",1973,7,27,422
"30625","USC00020949",1973,7,28,422
"30626","USC00020949",1973,7,29,417
"30627","USC00020949",1973,7,30,406
"30628","USC00020949",1973,7,31,417
"30691","USC00020949",1973,8,1,433
"30692","USC00020949",1973,8,2,433
"30693","USC00020949",1973,8,3,422
"30694","USC00020949",1973,8,4,389
"30695","USC00020949",1973,8,5,383
"30696","USC00020949",1973,8,6,394
"30697","USC00020949",1973,8,7,406
"30698","USC00020949",1973,8,8,417
"30699","USC00020949",1973,8,9,422
"30700","USC00020949",1973,8,10,422
"30701","USC00020949",1973,8,11,428
"30702","USC00020949",1973,8,12,444
"30703","USC00020949",1973,8,13,433
"30704","USC00020949",1973,8,14,422
"30705","USC00020949",1973,8,15,444
"30706","USC00020949",1973,8,16,422
"30707","USC00020949",1973,8,17,394
"30708","USC00020949",1973,8,18,433
"30709","USC00020949",1973,8,19,444
"30710","USC00020949",1973,8,20,433
"30711","USC00020949",1973,8,21,411
"30712","USC00020949",1973,8,22,422
"30713","USC00020949",1973,8,23,422
"30714","USC00020949",1973,8,24,406
"30715","USC00020949",1973,8,25,394
"30716","USC00020949",1973,8,26,383
"30717","USC00020949",1973,8,27,361
"30718","USC00020949",1973,8,28,389
"30719","USC00020949",1973,8,29,406
"30720","USC00020949",1973,8,30,406
"30721","USC00020949",1973,8,31,394
"30784","USC00020949",1973,9,1,378
